date,hour,temp_c,precip_mm,wind_kmh,snow_depth_mm,is_raining,is_snowing,is_bad_weather,wind_strong
2023-01-23,5,3.3,0.25,4.0,0.0,1,0,0,0
2023-01-23,6,3.3,0.25,4.0,0.0,1,0,0,0
2023-01-23,7,3.3,0.25,4.0,0.0,1,0,0,0
2023-01-23,8,3.3,0.25,4.0,0.0,1,0,0,0
2023-01-23,9,3.3,0.25,4.0,0.0,1,0,0,0
2023-01-23,10,3.9,0.25,4.0,0.0,1,0,0,0
2023-01-23,11,3.9,0.25,4.0,0.0,1,0,0,0
2023-01-23,12,3.9,0.25,4.0,0.0,1,0,0,0
2023-01-23,13,3.9,0.25,7.0,0.0,1,0,0,0
2023-01-23,14,3.9,0.25,7.0,0.0,1,0,0,0
2023-01-23,15,3.9,0.25,7.0,0.0,1,0,0,0
2023-01-23,16,3.3,0.25,8.0,0.0,1,0,0,0
2023-01-23,17,3.3,0.25,8.0,0.0,1,0,0,0
2023-01-23,18,3.3,0.25,8.0,0.0,1,0,0,0
2023-01-23,19,2.8,0.25,10.0,0.0,1,0,0,0
2023-01-23,20,2.8,0.25,10.0,0.0,1,0,0,0
2023-01-23,21,2.8,0.25,10.0,0.0,1,0,0,0
2023-01-23,22,2.2,0.25,10.0,0.0,1,0,0,0
2023-01-23,23,2.2,0.25,10.0,0.0,1,0,0,0
2023-01-24,0,2.2,0.25,10.0,0.0,1,0,0,0
2023-01-24,1,2.2,0.25,8.0,0.0,1,0,0,0
2023-01-24,2,2.2,0.25,8.0,0.0,1,0,0,0
2023-01-24,3,2.2,0.25,8.0,0.0,1,0,0,0
2023-01-24,4,2.8,0.25,6.0,0.0,1,0,0,0
2023-01-24,5,2.8,0.25,6.0,0.0,1,0,0,0
2023-01-24,6,2.8,0.25,6.0,0.0,1,0,0,0
2023-01-24,7,2.8,0.25,7.0,0.0,1,0,0,0
2023-01-24,8,2.8,0.25,7.0,0.0,1,0,0,0
2023-01-24,9,2.8,0.25,7.0,0.0,1,0,0,0
2023-01-24,10,3.9,0.25,7.0,0.0,1,0,0,0
2023-01-24,11,3.9,0.25,7.0,0.0,1,0,0,0
2023-01-24,12,3.9,0.25,7.0,0.0,1,0,0,0
2023-01-24,13,7.2,0.25,9.0,0.0,1,0,0,0
2023-01-24,14,7.2,0.25,9.0,0.0,1,0,0,0
2023-01-24,15,7.2,0.25,9.0,0.0,1,0,0,0
2023-01-24,16,6.1,0.25,10.0,0.0,1,0,0,0
2023-01-24,17,6.1,0.25,10.0,0.0,1,0,0,0
2023-01-24,18,6.1,0.25,10.0,0.0,1,0,0,0
2023-01-24,19,5.0,0.25,6.0,0.0,1,0,0,0
2023-01-24,20,5.0,0.25,6.0,0.0,1,0,0,0
2023-01-24,21,5.0,0.25,6.0,0.0,1,0,0,0
2023-01-24,22,4.4,0.25,6.0,0.0,1,0,0,0
2023-01-24,23,4.4,0.25,6.0,0.0,1,0,0,0
2023-01-25,0,4.4,0.25,6.0,0.0,1,0,0,0
2023-01-25,1,3.9,0.25,4.0,0.0,1,0,0,0
2023-01-25,2,3.9,0.25,4.0,0.0,1,0,0,0
2023-01-25,3,3.9,0.25,4.0,0.0,1,0,0,0
2023-01-25,4,2.8,0.25,3.0,0.0,1,0,0,0
2023-01-25,5,2.8,0.25,3.0,0.0,1,0,0,0
2023-01-25,6,2.8,0.25,3.0,0.0,1,0,0,0
2023-01-25,7,2.8,0.25,3.0,0.0,1,0,0,0
2023-01-25,8,2.8,0.25,3.0,0.0,1,0,0,0
2023-01-25,9,2.8,0.25,3.0,0.0,1,0,0,0
2023-01-25,10,3.3,0.25,4.0,0.0,1,0,0,0
2023-01-25,11,3.3,0.25,4.0,0.0,1,0,0,0
2023-01-25,12,3.3,0.25,4.0,0.0,1,0,0,0
2023-01-25,13,5.0,0.25,4.0,0.0,1,0,0,0
2023-01-25,14,2.2,0.51,6.0,0.0,1,0,0,0
2023-01-25,15,2.2,0.51,6.0,0.0,1,0,0,0
2023-01-25,16,3.3,0.51,6.0,0.0,1,0,0,0
2023-01-25,17,3.3,0.51,6.0,0.0,1,0,0,0
2023-01-25,18,3.3,0.51,6.0,0.0,1,0,0,0
2023-01-25,19,7.2,0.51,9.0,0.0,1,0,0,0
2023-01-25,20,7.2,0.51,9.0,0.0,1,0,0,0
2023-01-25,21,7.2,0.51,9.0,0.0,1,0,0,0
2023-01-25,22,11.7,0.51,13.0,0.0,1,0,0,0
2023-01-25,23,11.7,0.51,13.0,0.0,1,0,0,0
2023-01-26,0,11.7,0.51,13.0,0.0,1,0,0,0
2023-01-26,1,12.2,0.51,7.0,0.0,1,0,0,0
2023-01-26,2,12.2,0.51,7.0,0.0,1,0,0,0
2023-01-26,3,12.2,0.51,7.0,0.0,1,0,0,0
2023-01-26,4,11.7,0.51,6.0,0.0,1,0,0,0
2023-01-26,5,11.7,0.51,6.0,0.0,1,0,0,0
2023-01-26,6,11.7,0.51,6.0,0.0,1,0,0,0
2023-01-26,7,8.3,0.51,9.0,0.0,1,0,0,0
2023-01-26,8,8.3,0.51,9.0,0.0,1,0,0,0
2023-01-26,9,8.3,0.51,9.0,0.0,1,0,0,0
2023-01-26,10,6.7,0.51,9.0,0.0,1,0,0,0
2023-01-26,11,6.7,0.51,9.0,0.0,1,0,0,0
2023-01-26,12,6.7,0.51,9.0,0.0,1,0,0,0
2023-01-26,13,6.7,0.51,10.0,0.0,1,0,0,0
2023-01-26,14,6.7,0.51,10.0,0.0,1,0,0,0
2023-01-26,15,6.7,0.51,10.0,0.0,1,0,0,0
2023-01-26,16,6.7,0.51,9.0,0.0,1,0,0,0
2023-01-26,17,6.7,0.51,9.0,0.0,1,0,0,0
2023-01-26,18,6.7,0.51,9.0,0.0,1,0,0,0
2023-01-26,19,6.1,0.51,8.0,0.0,1,0,0,0
2023-01-26,20,6.1,0.51,8.0,0.0,1,0,0,0
2023-01-26,21,6.1,0.51,8.0,0.0,1,0,0,0
2023-01-26,22,5.0,0.51,7.0,0.0,1,0,0,0
2023-01-26,23,5.0,0.51,7.0,0.0,1,0,0,0
2023-01-27,0,5.0,0.51,7.0,0.0,1,0,0,0
2023-01-27,1,5.0,0.51,7.0,0.0,1,0,0,0
2023-01-27,2,5.0,0.51,7.0,0.0,1,0,0,0
2023-01-27,3,5.0,0.51,7.0,0.0,1,0,0,0
2023-01-27,4,3.3,0.51,5.0,0.0,1,0,0,0
2023-01-27,5,3.3,0.51,5.0,0.0,1,0,0,0
2023-01-27,6,3.3,0.51,5.0,0.0,1,0,0,0
2023-01-27,7,3.3,0.51,4.0,0.0,1,0,0,0
2023-01-27,8,3.3,0.51,4.0,0.0,1,0,0,0
2023-01-27,9,3.3,0.51,4.0,0.0,1,0,0,0
2023-01-27,10,5.0,0.51,2.0,0.0,1,0,0,0
2023-01-27,11,5.0,0.51,2.0,0.0,1,0,0,0
2023-01-27,12,5.0,0.51,2.0,0.0,1,0,0,0
2023-01-27,13,6.1,0.51,3.0,0.0,1,0,0,0
2023-01-27,14,6.1,0.51,3.0,0.0,1,0,0,0
2023-01-27,15,6.1,0.51,3.0,0.0,1,0,0,0
2023-01-27,16,5.6,0.51,5.0,0.0,1,0,0,0
2023-01-27,17,5.6,0.51,5.0,0.0,1,0,0,0
2023-01-27,18,5.6,0.51,5.0,0.0,1,0,0,0
2023-01-27,19,3.9,0.51,2.0,0.0,1,0,0,0
2023-01-27,20,3.9,0.51,2.0,0.0,1,0,0,0
2023-01-27,21,3.9,0.51,2.0,0.0,1,0,0,0
2023-01-27,22,3.3,0.51,3.0,0.0,1,0,0,0
2023-01-27,23,3.3,0.51,3.0,0.0,1,0,0,0
2023-01-28,0,3.3,0.51,3.0,0.0,1,0,0,0
2023-01-28,1,2.8,0.51,4.0,0.0,1,0,0,0
2023-01-28,2,2.8,0.51,4.0,0.0,1,0,0,0
2023-01-28,3,2.8,0.51,4.0,0.0,1,0,0,0
2023-01-28,4,3.3,0.51,6.0,0.0,1,0,0,0
2023-01-28,5,3.3,0.51,6.0,0.0,1,0,0,0
2023-01-28,6,3.3,0.51,6.0,0.0,1,0,0,0
2023-01-28,7,3.9,0.51,5.0,0.0,1,0,0,0
2023-01-28,8,3.9,0.51,5.0,0.0,1,0,0,0
2023-01-28,9,3.9,0.51,5.0,0.0,1,0,0,0
2023-01-28,10,6.1,0.51,6.0,0.0,1,0,0,0
2023-01-28,11,6.1,0.51,6.0,0.0,1,0,0,0
2023-01-28,12,6.1,0.51,6.0,0.0,1,0,0,0
2023-01-28,13,10.6,0.51,9.0,0.0,1,0,0,0
2023-01-28,14,10.6,0.51,9.0,0.0,1,0,0,0
2023-01-28,15,10.6,0.51,9.0,0.0,1,0,0,0
2023-01-28,16,11.1,0.51,7.0,0.0,1,0,0,0
2023-01-28,17,11.1,0.51,7.0,0.0,1,0,0,0
2023-01-28,18,11.1,0.51,7.0,0.0,1,0,0,0
2023-01-28,19,10.0,0.51,3.0,0.0,1,0,0,0
2023-01-28,20,10.0,0.51,3.0,0.0,1,0,0,0
2023-01-28,21,10.0,0.51,3.0,0.0,1,0,0,0
2023-01-28,22,9.4,0.51,4.0,0.0,1,0,0,0
2023-01-28,23,9.4,0.51,4.0,0.0,1,0,0,0
2023-01-29,0,9.4,0.51,4.0,0.0,1,0,0,0
2023-01-29,1,8.3,0.51,4.0,0.0,1,0,0,0
2023-01-29,2,8.3,0.51,4.0,0.0,1,0,0,0
2023-01-29,3,8.3,0.51,4.0,0.0,1,0,0,0
